text,label
cache sql queries for get/insert/update/delete. shaved about half the overhead off according to benchmarks,0
added unit tests for tagging,0
switch imports back go coopernurse/gorp,0
"Add support for time.Time objects to gorp.

This commit adds support for storing and retriving time.Time objects,
by passing through such objects to the underlying driver.  This
resolves gorp issue #14.

The commit is tested and works with the github.com/mattn/go-sqlite3
driver.

The commit does not currently work with the
github.com/ziutek/mymysql/godrv driver, due to a bug in the mysql
driver.  This problem is resolved by mymysql pull request #77.  I have
successfully tested that with the fix from pull request #77 applied to
mymysql, and with the current commit applied, gorp can correctly store
and retrieve time.Time objects from mysql databases.

This commit is NOT tested with the github.com/lib/pq driver.",0
"Return a sql.ErrNoRows when SelectOne does not return any row.

The SelectOne wants to return just one row, so it should also return an error
when no rows were returned. In this case, this function will return an
sql.ErrNoRows, as it's done in some functions of the database/sql package.",1
make version field overrideable. fix primary key declaration in create table if table has more than one pk,1
Don't swallow useful PostgreSQL errors when INSERT fails for some reason.,1
Add sqlite3 and PostgreSQL Dialects.  Fix issues in tests that let errs pass unnoticed in CreateTables().,0
fixed ColumnMap.Nullable docs,1
"dialect: support quoting column names

Add support for quoting column names when generating queries. If a table
uses a reserved word for a column name (silly but happens) then there
will be a SQL error when trying to fetch a mapped struct.",0
remove debug print,1
Made stripping of attributes future-compatible.,0
Fix misunderstanding in handling of binary types,1
fixed type orddict(),1
Bigger timeout for some tests; also some clean ups,0
"Added weighted_default/2 and some bugfixes

* non_empty/1 now covers binary types too
* fixed a bug with noshrink/1",1
Don't panic if you can't repeat a test failure,0
"Implemented sampleshrink/1,2, type changes, added safe_pop to stack ADT",0
"Refined stats printing subsystem, minor cleanups.

* Implemented collect/3, aggregate/3, measure/3, with_title/1.
* Cleaned up macro definitions.
* Cleaned up proper.erl exported types.",0
"Permit caller to ""prime"" PropEr's typeserver and random generator prior to testing

The motivation of this change request is to permit testing of a
module's exported functions by using both PropEr *and* Meck.  Before
Meck is enabled to mock a module, the cache of PropEr's typeserver
must be first populated.  Otherwise, PropEr is unable to gather a
module's specs.

Sample code to illustrate this technique:

````
-spec check_specs(module()) -> term().
check_specs(Mod) ->
    %% pass through to the original Function Under Test (FUT)
    check_specs(Mod, fun(_Module, _Fun, Args) -> meck:passthrough(Args) end, [], []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term())) -> term().
check_specs(Mod, FUT) ->
    check_specs(Mod, FUT, [], []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term()), proplist()) -> term().
check_specs(Mod, FUT, PropErOptions) ->
    check_specs(Mod, FUT, PropErOptions, []).

-spec check_specs(module(), fun((module(), atom(), list()) -> term()), proplist(), proplist()) -> term().
check_specs(Mod, FUT, PropErOptions, MeckOptions) ->
    proper:global_state_erase(),
    proper:global_state_init_size(1),
    case proper_typeserver:get_exp_specced(Mod) of
        {ok, MFAs} ->
            meck:new(Mod, MeckOptions),
            try
                %% @NOTE Expand MFA clauses for larger arity as needed
                Fun = fun({M,F,0}) ->
                              meck:expect(M,F, fun() -> FUT(M, F, []) end);
                         ({M,F,1}) ->
                              meck:expect(M,F, fun(A1) -> FUT(M, F, [A1]) end);
                         ({M,F,2}) ->
                              meck:expect(M,F, fun(A1, A2) -> FUT(M, F, [A1, A2]) end)
                      end,
                lists:foreach(Fun, MFAs),
                proper:check_specs(Mod, PropErOptions)
            after
                meck:unload(Mod)
            end;
        {error,Reason} ->
            error(Reason, [Mod, PropErOptions, MeckOptions])
    end.
````",0
"added types, minor refactoring, added rudimentary README instructions",0
Removed unnecessary $ from test wrapper tags.,0
more fixes,1
Fixes and cleanups to typeserver and transformer.,1
"Strengthen some specs

While at it, shortened some comment lines so that they fit
on one line in my emacs buffer...",0
better indentation,0
Simplify add_exports/1 transformation.,0
minor fixes to unit tests,1
PropEr now catches exits by default.,0
"Fixes in initial state computation

*Now initial_state/0 is only called during command generation
 and evaluated during command execution.

*Also fixed proper_types:parameter/3",1
fixed bug in proper_types:with_parameters/2,1
"Move things again, trying to suit GOPATH scheme.",0
"When scanning for Go files in dir, filter by also file class. Closes #13

We don't need to use dirs as go files, etc.",1
"Add "")"" only if the type is a function.",1
Add semantic_rename/test.0003.,0
Fix win port issues. Signal handling and default sock type.,1
Add function pretty printing.,0
Use path.Join instead of simple Sprintf.,0
Add 'rename' test.0004.,0
"Update test.0028, include unary op check.",0
"Add support for built-in package ""unsafe"".",0
"Use case-insensitive filtering as a fallback, if no proposals were found.

Closes #91.",0
Fix semantic_rename/test.0002.,0
Fix windows build.,1
Fix sneaky package parser rewrite regression.,1
"Fix win32 build, due to package renames in one of the latest weeklies.",1
"Make a global universeScope variable.

Also fixes all TODOs regarding ""return the real built-in type"" thing.",0
Fix 'rename' test.0004.,1
Fixed when a crash when there is bogus import statement; alias but no path.,1
"Mutlifile packages support, few misc fixes.",0
"Add test.0012. No import statements issue.

For some reason local parsing fails if there are no import statements.",0
"Closes #740. This should fix the segfault.

The segfault happened because SwitchToProgram() didn't
check for the being errored before resuming playback.

This adds that check in SwitchToProgram().

It also adds it to the StartPlaying() loop. This part is just
so that an error message gets displayed before we exit.

For an extra level of paranoia this also adds a check for a null
context pointer in the packet reading portion of GetFrame(). 
This prevents a segfault if GetFrame() is called when there is 
no context pointer; so long as there it is reset clearing any
buffered packets.

There are still remaining problems in LiveTV that I think are 
sufficiently canvased by the existing tickets; this just prevents
a segfault if we switch to an empty file. Addressing the creation
empty files is a seperate issue.



git-svn-id: http://svn.mythtv.org/svn/trunk@8098 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"Atari and Odyssey2 support, patch by Bill Soudan.


git-svn-id: http://svn.mythtv.org/svn/trunk@3755 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"Allan Stirling - Add single retry of connection to master backend


git-svn-id: http://svn.mythtv.org/svn/trunk@6647 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"Pointless char*->QString->char* conversion, which is dangerous in Qt4.
Looks like it has been that way since the original MMon patch [2696].
Much easier to change these instances, and pass char* around,
than change all the method signatures, like in Daniel's patch. See #5596


git-svn-id: http://svn.mythtv.org/svn/trunk@18325 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"My last patch to this got rid of the attempts to load
""No cover"" as a cover file, but also took away
the side effect of it causing a reset of the poster
on the screen.  This resets the poster to blank 
while still not trying to load a non existant poster.





git-svn-id: http://svn.mythtv.org/svn/trunk@6957 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"Change the video rating statetype to ten states to match mythmusic and the watch recordings screen.

git-svn-id: http://svn.mythtv.org/svn/trunk@19671 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"A little more of the new scanner code is in this commit.

Please test DVB scanning in Europe with this commit.

This removes depreciated parts of dvbsignalmonitor, as they
are no longer used in scanwizard. The code now uses the range
and value reporting signals, instead of the old non-range 
reporting signals.

This moves SIScan thread handling code from ScanWizardScanner to SIScan.
Removes the USING_DVB checks on SIScan code in ScanWizard[Scanner] since,
as of  the last scanning checkin, SIScan no longer depends on DVB stuff 
to compile. This also adds some of the pcHDTV v4l scanning code to 
scanwizard, basically everything that doesn't depend on a pcHDTV v4l
enabled SIScan.

Finally, this makes some changes to SIScan, but just header and define
stuff. Everything else depends on using the new FrequencyTable class in
frequencytables.h, but testing by John Pullan seems to indicate that
the new frequency tables are breaking DVB scanning in Europe. So I will
make a patch that just adds the FrequencyTable stuff for testing before
anything goes into svn.



git-svn-id: http://svn.mythtv.org/svn/trunk@6884 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"Set the painter object before we load OSD windows.


git-svn-id: http://svn.mythtv.org/svn/trunk@27023 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"Make the new vsync code optional, dependent on a new setting in the playback
section.


git-svn-id: http://svn.mythtv.org/svn/trunk@1582 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"Displays Later Showings in the same font as Earlier, Disabled, and other non-recordings states



git-svn-id: http://svn.mythtv.org/svn/trunk@7763 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"This simplifies and documents the two AddAudioData()
methods in the NVP. 

More importantanly this also prevents AddAudioData(char*...)
from crashing the frontend if ""audio_channels"" is <= 0...
This happens when we transition from a stream with audio
to one without it and a frame is decoded while the audio
params are still being reset.



git-svn-id: http://svn.mythtv.org/svn/trunk@7213 7dbf422c-18fa-0310-86e9-fd20926502f2",0
"Fix suggested by David Abrahams for problems when pkg-config installed,
and syntax warning fix (variable was being redefined)


git-svn-id: http://svn.mythtv.org/svn/trunk@8640 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"A Couple of fixes for compiling under OpenBSD



git-svn-id: http://svn.mythtv.org/svn/trunk@7241 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"replace asm with __asm__ since the ffmpeg sync in [20797] removed -fasm from CFLAGS

fixes hopefully pcc compilation

git-svn-id: http://svn.mythtv.org/svn/trunk@21571 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"Fixes #1873. Fixes DVB-T Radio, by writing fake video stream pid.

I didn't use the patch because it had some errors in it, but I added a one liner which should fix the problem.



git-svn-id: http://svn.mythtv.org/svn/trunk@10087 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"Fix a problem with DVB subtitles which don't take the current OSD
dimensions into account.

The raw subtitle images are scaled to be correct for a screen resolution 
of 720x576 (at least thats true for european subtitles) this just scales
the images to be the correct size for the current OSD dimensions.

git-svn-id: http://svn.mythtv.org/svn/trunk@8415 7dbf422c-18fa-0310-86e9-fd20926502f2",1
"rmdec: Pass AVIOContext to rm_read_metadata()

Fix null pointer dereference
Fixes Ticket2588

Signed-off-by: Michael Niedermayer <michaelni@gmx.at>
(cherry picked from commit bf87908cd8da31e8f8fe75c06577170928ea70a8)
Signed-off-by: Jean-Yves Avenard <jyavenard@mythtv.org>",1
"Group items now have signals to indicate that they're about to go back and that they've gone back.

The recording group item now hooks into the ""goingBack"" signal of it's list item and resets the group to ""Default"" if you select the create new group then go back.

Remnoved the unused Pre/Post roll group so that it's text wouldn't need to be translated.


git-svn-id: http://svn.mythtv.org/svn/trunk@4133 7dbf422c-18fa-0310-86e9-fd20926502f2",0
allow to intercept responses with status 300.,1
"delete 'gecko' and 'konqueror' testing
http://rb.corp.taobao.com/r/23647/


git-svn-id: http://code.taobao.org/svn/tengine/trunk@33 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",0
Add the cleanup code for the region db connection,0
added the 'log_empty_request' directive,0
fix the wrong number of arguments in keepalive_timeout,1
fixed a segment fault bug with upstream check module when check timeout is longer than the check interval,1
"add identity for syslog
http://rb.corp.taobao.com/r/29643/


git-svn-id: http://code.taobao.org/svn/tengine/trunk@64 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",0
merge changes between nginx 1.2.6 and nginx 1.2.7,0
fixed for nginx standard,1
"review url:http://rb.corp.taobao.com/r/25219/

changelog:
1 merge了 liseen.wan@gmail.com提的patch.



git-svn-id: http://code.taobao.org/svn/tengine/trunk@40 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",0
ngx_http_user_agent_module bugfix,1
"add input body filter
http://rb.corp.taobao.com/r/22419/

git-svn-id: http://code.taobao.org/svn/tengine/trunk@16 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",0
merge nginx changes between 1.2.5 and 1.2.6,0
add consistent_hash_module for tengine,0
"repair a bug in upstream, process_header and process_body_in_memory
http://rb.corp.taobao.com/r/23292/

git-svn-id: http://code.taobao.org/svn/tengine/trunk@24 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",1
bugfix: don't record request time in subrequest,1
bugfix when use chrome and safari.,1
"Bugfix: the ""[alert] zero size buf"" error.",1
"1 fix bugs of the limit_req module(please read this issue https://github.com/taobao/tengine/pull/1).

2 add test case for limit_req module.

3 refactor some code and fixed code style.",1
"rb: http://rb.corp.taobao.com/r/27547/

changelog:

use scan-build(http://clang-analyzer.llvm.org/) check and find a little warnning, so fixed it.



git-svn-id: http://code.taobao.org/svn/tengine/trunk@53 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",1
* src/main/clojure/clojure/core/logic.clj: improvements to !=fd,0
* test/logos/test/core.clj: add flatten o test,0
* src/logos/match.clj: sketch,0
* src/logos/bench.clj: better formatting,0
* src/main/clojure/clojure/core/logic.clj: implement super? for RangeFD,0
* src/logos/minikanren.clj: quick note,0
* project.clj: can unify all core datatypes,0
"remove root-var calls, not needed w/ update-dom",1
* src/main/clojure/clojure/core/logic.clj: move some stuff around,0
"* src/main/clojure/clojure/core/logic.clj: remove expand for now, clean up how integers and more complex domains are handled. as long as a seq of intervals can be produced, we can do generic ops.",0
"`fixc`

as suspected `treec` is not quite flexible enough. Instead we now have
a higher order contraint `fixc` which takes a function which must take
3 arguments - the term, the substitution and a reifier. This function
must return a goal. This goal can of course call fixc again
recursively, perhaps using constrain-tree to get tree constraining
behavior. Redefine `treec` in terms of `fixc` as an example :)",0
fix safefd example to use !=fd,1
* src/main/clojure/clojure/core/logic.clj: fix make-cs calls,1
"* src/main/clojure/clojure/core/logic.clj: fix typo in tests, fix exclude-from-dom, y* will be a set in -distinctfdc, list-sorted? impl",1
* src/logos/minikanren.clj: fix the behavior of rest-lvars during reification,1
"Disequality that does not depend on unify.

Added IDisunifyTerms protocol. Added disunify which looks like unify
but instead returns a constraint set. Not yet sure if this approach is
general enough to implement nominal disequality. Extend the core type
to IDisunifyTerms.

No more calls to unify in !=c. Commented out normalize-store and
prefix-subsumes? as those are optimizations anyhow. != goal now calls
disunify and uses the :prefixc property of the constraint set to
construct the !=c constraint.",0
allow `fixc` to take rands. x can be a vector values in this case.,0
fixed typo in locals-membero recursive call,1
* src/main/clojure/clojure/core/logic/minikanren.clj: occur-check fix and test,1
note on how we intend to fix walk-term for IPersistentMaps,0
"v6.47.0. Bugfix. Improvement.

- v6.47.0 July 31, 2013
	- Added `FileModel::deleteSource`
	- Added support for specifying inline content within the styles block
	- Fixed `DocPad::parseFileDirectory`",1
watch generate will now output time it was regenerated - as it is super dooper fast these days,0
"Removed base Model requirement for Document

This var is unused since DocumentModel inherits from FileModel",0
0.9.7. added maxAge option,0
v5.0.1. Initialising a skeleton will also reload the configuration.,0
v5.0.2. Removed some stray console.log's,0
"v6.31.0. Improvement.

- v6.31.0 April 24, 2013
	- DocPad will now warn you when you have files of the same outPath
	- File and Document IDs will now always be their `cid` (before they
use to be their relativePath on occasion)
	- Fuzzy searching no longer searches for the id
	- Server is now able to serve cached pages while a non-initial
generation is occurring
	- We no longer replace tabs with 4 spaces for the content of files and
documents (we still do it for YAML meta data headers on documents)
		- This means if you're a plugin developer, you may need to update
your plugin's test's `out-expected` folder accordingly
			- If this is too difficult, we've added a `removeWhitespace` config
option for your plugin tester, set it to `true`, [see here for
usage](https://github.com/docpad/docpad-plugin-paged/blob/master/src/pag
ed.tester.coffee)
	- Change events will now fire when adding a url to a file
	- URL cache index for serving files is now generated via change
events, rather than after generation",0
Minor code standards enforncement,0
Updated for Express.js v3. Need to update some plugins to.,0
cleanded docpad dev comments,0
"Cleaned up the generation code. Tests passing. May need to change the mtime query to include new documents, as new imported documents with an old mtime won't be generated.",0
Fixed unit tests :),0
Fix jschardet being undefiend if Iconv fails - Ref #411,1
v6.54.8. Bugfix.,1
"v6.21.7. Bugfix.

- v6.21.7 January 25, 2013
	- Fixed port not defaulting correctly on the `docpad-server` executable since v6.21.5
		- Closes [issue #407](https://github.com/bevry/docpad/issues/407) thanks to [man4u](https://github.com/man4u)
	- Updated dependencies
		- [bal-util](https://github.com/balupton/bal-util) from ~1.16.0 to ~1.16.1",1
typo error in markdown plugin renderer,1
"v6.49.0. Improvement.

- v6.49.0 August 9, 2013
	- DocPad will now shutdown and destroy itself more thoroughly
		- Thanks to [Ashton Williams](https://github.com/Ashton-W) for [issue #595](https://github.com/bevry/docpad/issues/595)
	- Added the event `docpadDestroy` for plugins that are doing anything long-running so they can destroy themselves thoroughly too",0
"v6.42.3. Improvement.

- v6.42.3 June 26, 2013
	- Swapped out synchronous file system calls for asynchronous ones
		- Closes [issue #538](https://github.com/bevry/docpad/issues/538)
	- Fixed DocPad version number undefined in X-Powered-By response header
	- Added the ability to turn off the X-Powered-By meta header by
setting the `poweredByDocPad` to `false` in your configuration",0
"Fix tests for importer rewrite. Caterpillar optimisation attempt.

- load events now parse events
- split out `populateCollections` into it's own thing
- moved `generateParse` logic into `populateCollections`
- added `opts.collection` support back to `parseDirectory`",0
Fixed an issue with content type being looked up twice,1
Replace gname2Qname with origName2QName,0
Add Maybe hack to compiler until order is sorted out.,1
-pretty flag to jsbeautify output,0
Remove force-inline option (closes #102).,0
Flag to exclude stdlib from output (refs #203).,0
Move Defined and Nullable to Language.Fay.FFI,0
Add tests for () conversions,0
Allow aeson 0.7.*,0
Don't import modules twice.,1
Fix compiler warning,1
Fix FFI callbacks when too many arguments are provided.,1
Fix console example (closes #201),0
"Add lazyness to infix operators (* + - etc)

In the test case I've replaced undefineds with a division by 0 due to
undefined not being in scope. I have also tested this by replacing the 1
and the 0 with undefined in the generated javascript and running it
through node manually",0
"Fix fields of records that should also not be forced, also very important (refs #237).",1
Don't override existing modules with constructor definitions. Fixes ModuleRecordClash test,1
Remove unused CompileErrors and do some renaming,0
"Make error messages a tiny bit friendlier, and some general house-keeping.",0
Fix TODO,0
Fix invalid Symbols as Idents in ModuleScope,1
Each module adds its own entries to the jsToFay/fayToJs hashes. Also put jsToFayUserDefined and fayToJsUserDefined in runtime.,0
Expand macro ++ in such a way as to allow use in patterns.,0
Moved code generation ot of lfe_comp into lfe_codegen.,0
First *trial' version of parameterized modules.,0
"Handle compiler option warnings_as_errors

We do this in the samw way as the vanilla compiler by flagging an
error when there are warnings, but leaving them as warnings.",0
"Remove unnecssary special case guard handling in lfe_codegen.erl

These special cases are unnecssary as the optimiser fixes it for us
and they are a rememant of old guard handling.",1
Clean up handling of print depth and make it consistent.,0
"Better record handling, internal fixes, documentation.",0
Added (set- ...) macro to for records. Internal cleanup.,0
"Removed user_drv.erl and user_drv.beam as no longer needed and io-server
protocol has been changed.",0
Move code generation out of lfe_comp into lfe_codegen.,0
Add main/1 as export in dummy module,0
"Added formatted output. Very like the erlang versions but they do
output LFE forms. Characters and based numbers useless for now.",0
Initial release.,0
Fixing checking of bitsegs in patterns.,1
Extend ? macro to handle optional timeout and default value.,0
"Fix indenting of known forms when no depth limit

The pretty printer did not correctly handle the case when there was no
depth limit and just ignored the rules.",1
Better error checking in guards.,0
"Fix stupid bug in lfe_macro_include which calls undocumented function

Also take the chance to improve some comments.",1
A small fix in the docs and update copyrights.,0
"Unwind variable scoping code in lfe_trans.erl

To do this properly will take more work than I am prepared to do
for the moment. Also fixed binary handling in from_bitseg.",1
Add automatically generated version information. Fixes #541.,1
Making sure not defining MR_SHORTHAND does NOT include any unnecessary runtime changes,1
Fix NSAttributeDescription lookups using attributesByName by switching to fast enumeration,1
Create new spec based upon ImportSingleRelatedEntityTests.m,0
Making all relevant contexts obtain a permanent id before saving,0
add some notes to pick up with later,0
Added inContext helper to get a managed object in another context,0
"Separate printing context chain method into its own method
change contextWorkingName to property workingName",0
Some adjustments to the iCloud helpers,0
Minor formatting updates,0
Xcode 5 is a wonderland of typecasting,1
Added Unit test for string to number conversion,0
Cleanup code is now debug-only,0
Fix Memory Leaks found through instruments,1
Adding an observer to check for icloud being setup after default context has been set. Should fix race condition in Issue #241,1
Re-add fix for cleanup of background queue,1
Converted CoreDataRecipes sample to MagicalRecordRecipes sample application,0
"Fix some data import tests
Added data update tests",1
"Fix memory leak, add check for previous import",1
"fix comments, add new context helper, made helpers more consistent",0
Include classes jars with classifier in idea config (issue #145),0
"Remove project/boot lib references from build-definition descriptor

These directories/jars do not exist anymore in sbt 0.11+",0
"Add execluded.folders property for specifying a list of folders to be
excluded from Idea project view. Closes #41.

Removed exclude.libmanaged.folders property. Use
'excluded.folders=lib_managed' instead.",0
"Added correct classpath for sbt build project.  Sbt sources now included!
Added ability to skip sbt sub-project in idea module generation
Added managed source directories when applicable.",0
Set version for 0.10.0 release,0
Include 'optional' dependencies in classpath (#198),0
"Add 'Runtime' scope support to unmanagedClasspath

Also added support for classes dirs in unmanagedClasspath, 
in addition to jars (Issue #181).",0
Set version 1.5.2,0
Use 0.2-SNAPSHOT,0
Use android-sbt 0.6.4 stable version,0
some cosmetic refactorings,0
Tabs to spaces formatting fixes,0
better log message,0
"Process 'provided' scope before test and runtime (#186)

Fixes a case where a dependency declared as 'provided' will
end up as 'test' scoped when the same dependency is also a
transitive dependency of test scoped dependency. Provided dependency
may be needed for compilation, so it ending as test dep breaks 
compilation in Idea.",1
Make classifiers of sources and javadocs configurable (issue #97),0
Use full path to fix Idea complaining about the Null import (Idea Scala plugin bug?).,0
"Make 'no-sbt-classifiers' to be the default

With lastest sbt version, 'gen-idea' task fails if we don't already have
sbt-idea's sources/javadocs in local ivy repo. This is because currently
sbt does not include extra plugin repositories in 'update-sbt-classifiers'
resolution.

Until now the workaround was to run 'gen-idea no-sbt-classifiers'.",0
"Download classifiers by default unless no-classifiers or no-sbt-classifiers is specified.

Fixes issue #63",0
Temporary fix to avoid duplicate project dependencies and add FIXME describing correct solution.,1
"set ""deprecation"" and ""unchecked"" scalac settings according to scalacOptions key in sbt. fix for #120",0
Fix bug and add test for shadowing of optional value with fnk args,1
"Clean up structure of positional.

I attempted to address Jason's ""code smell"" comment about separate functions
for efficient call forms and efficient functions. I'm not sure I succeeded.",0
More cleanup and docs,0
"Incorporated positional compile to replace eager-compile.

This is largely an export so Jason can take a look; I still plan to clean
things up.",0
Ensure we compile with full speed under leiningen.,0
Add a test for positional-fnks via positional-fn,0
Bump schema version,0
Cut 0.1.1 release,0
Update project.clj to 0.0.2-SNAPSHOT,0
Prepare for next development iteration,0
All tests pass,0
